input,target,type
मुझे बाहर जाना है,mujhe bahara jana hai,hi_to_hinglish
मुझे बाहर जाना है,mujhe bahara jana hai na,hi_to_hinglish
तुम क्या कर रहे हो,tuma kya kara rahe ho,hi_to_hinglish
तुम क्या कर रहे हो,tuma kya kara rahe ho bhai,hi_to_hinglish
मुझे भूख लगी है,mujhe bhukha lagi hai,hi_to_hinglish
क्या तुम मेरे साथ चलोगे,kya tuma mere satha caloge,hi_to_hinglish
यह बहुत मुश्किल है,yaha bahuta muzkila hai,hi_to_hinglish
यह बहुत मुश्किल है,yaha bahuta muzkila hai yaar,hi_to_hinglish
जल्दी आओ,jaldi ao,hi_to_hinglish
जल्दी आओ,jaldi ao na,hi_to_hinglish
मुझे पानी चाहिए,mujhe pani cahie,hi_to_hinglish
नाश्ता क्या बनाया है?,nazta kya banaya hai?,hi_to_hinglish
चाय पी लोगे?,caya pi loge?,hi_to_hinglish
चाय पी लोगे?,caya pi loge? bro,hi_to_hinglish
कल क्या प्लान है?,kala kya plana hai?,hi_to_hinglish
कल क्या प्लान है?,kala kya plana h?,hi_to_hinglish
भूख लगी है क्या?,bhukha lagi hai kya?,hi_to_hinglish
बस आ गई क्या?,basa a gai kya?,hi_to_hinglish
बस आ गई क्या?,basa a gai kya? yaar,hi_to_hinglish
तुम्हें क्या चाहिए?,tumhem kya cahie?,hi_to_hinglish
फिल्म देखनी है?,philma dekhani hai?,hi_to_hinglish
परीक्षा कब है?,pariksa kaba hai?,hi_to_hinglish
आज मीटिंग है क्या?,aja mitimga hai kya?,hi_to_hinglish
आज मीटिंग है क्या?,aja mitimga hai kya? bhai,hi_to_hinglish
रिपोर्ट तैयार है?,riporta taiyara hai?,hi_to_hinglish
अलार्म लगा दिया?,alarma laga diya?,hi_to_hinglish
अच्छी नींद आई?,acchi nimda ai?,hi_to_hinglish
सपना देखा क्या?,sapana dekha kya?,hi_to_hinglish
मुस्कुरा क्यों रहे हो?,muskura kyom rahe ho?,hi_to_hinglish
मुस्कुरा क्यों रहे हो?,muskura kyom rahe ho? bro,hi_to_hinglish
बहुत बढ़िया!,bahuta bar3hiya!,hi_to_hinglish
शाबाश!,zabaza! bhai,hi_to_hinglish
साथ चलोगे?,satha caloge?,hi_to_hinglish
साथ चलोगे?,satha caloge? bro,hi_to_hinglish
वीकेंड पर क्या कर रहे हो?,vikemda para kya kara rahe ho?,hi_to_hinglish
घूमने चलें?,ghumane calem?,hi_to_hinglish
होमवर्क पूरा किया?,homavarka pura kiya?,hi_to_hinglish
क्या हुआ?,kya hua?,hi_to_hinglish
क्या हुआ?,kya hua? na,hi_to_hinglish
दवा ले ली?,dava le li?,hi_to_hinglish
बुखार है क्या?,bukhara hai kya?,hi_to_hinglish
मिठाई खाओगे?,mithai khaoge?,hi_to_hinglish
बर्तन धो दिए?,bartana dho die?,hi_to_hinglish
बर्तन धो दिए?,bartana dho die? bhai,hi_to_hinglish
धोबी को कपड़े दे आए?,dhobi ko kapar3e de ae?,hi_to_hinglish
धोबी को कपड़े दे आए?,dhobi ko kapar3e de ae? yaar,hi_to_hinglish
वाईफाई पासवर्ड क्या है?,vaiphai pasavarda kya hai?,hi_to_hinglish
रिचार्ज करवा दिया?,ricarja karava diya?,hi_to_hinglish
पिन याद है?,pina yada hai?,hi_to_hinglish
क्या पहनोगे?,kya pahanoge?,hi_to_hinglish
बर्थडे विश कर दिया?,barthade viza kara diya?,hi_to_hinglish
नया रेस्टोरेंट ट्राई करें?,naya restoremta trai karem?,hi_to_hinglish
बहन कैसी है?,bahana kaisi hai?,hi_to_hinglish
बहन कैसी है?,bahana kaisi hai? na,hi_to_hinglish
भाई क्या कर रहा है?,bhai kya kara raha hai?,hi_to_hinglish
भाई क्या कर रहा है?,bhai kya kara raha hai? bhai,hi_to_hinglish
घर कैसे हैं सब?,ghara kaise haim saba?,hi_to_hinglish
त्योहार कब है?,tyohara kaba hai?,hi_to_hinglish
कैसे हो?,kaise ho?,hi_to_hinglish
सब बढ़िया?,saba bar3hiya?,hi_to_hinglish
क्या चल रहा है?,kya cala raha hai?,hi_to_hinglish
मिलते हैं जल्दी!,milate haim jaldi!,hi_to_hinglish
सुबह की सैर कर ली?,subaha ki saira kara li?,hi_to_hinglish
आज क्या खास बना है?,aja kya khasa bana hai?,hi_to_hinglish
लंच में क्या लेके जा रहे हो?,lamca mem kya leke ja rahe ho?,hi_to_hinglish
बिल्कुल फ्री हो आज?,bilkula phri ho aja?,hi_to_hinglish
बिल्कुल फ्री हो आज?,bilkula phri ho aja? bro,hi_to_hinglish
प्रेजेंटेशन तैयार कर लिया?,prejemtezana taiyara kara liya?,hi_to_hinglish
प्रेजेंटेशन तैयार कर लिया?,prejemtezana taiyara kara liya? bhai,hi_to_hinglish
ईमेल चेक कर लिया?,imela ceka kara liya?,hi_to_hinglish
नया प्रोजेक्ट कब शुरू है?,naya projekta kaba zuru hai?,hi_to_hinglish
लंच ब्रेक कब है?,lamca breka kaba hai?,hi_to_hinglish
लंच ब्रेक कब है?,lamca breka kaba hai? bhai,hi_to_hinglish
नया गाना सुना क्या?,naya gana suna kya?,hi_to_hinglish
आज का न्यूज़ क्या है?,aja ka nyuz2a kya hai?,hi_to_hinglish
आज का न्यूज़ क्या है?,aja ka nyuz2a kya hai? bro,hi_to_hinglish
अखबार पढ़ लिया?,akhabara par3ha liya?,hi_to_hinglish
मोबाइल का बैकअप ले लिया?,mobaila ka baikaapa le liya?,hi_to_hinglish
पौधों को पानी दे दिया?,paudhom ko pani de diya?,hi_to_hinglish
पौधों को पानी दे दिया?,paudhom ko pani de diya? na,hi_to_hinglish
कुत्ता खाना खा लिया?,kutta khana kha liya?,hi_to_hinglish
कुत्ता खाना खा लिया?,kutta khana kha liya? bro,hi_to_hinglish
बिल्ली बाहर है क्या?,billi bahara hai kya?,hi_to_hinglish
कौन आया है बाहर?,kauna aya hai bahara?,hi_to_hinglish
कौन आया है बाहर?,kauna aya hai bahara? yaar,hi_to_hinglish
फ्रिज में क्या बचा है?,phrija mem kya baca hai?,hi_to_hinglish
फ्रिज में क्या बचा है?,phrija mem kya baca hai? bhai,hi_to_hinglish
खाना मिर्ची वाला है?,khana mirci vala hai?,hi_to_hinglish
खाना मिर्ची वाला है?,khana mirci vala hai? bhai,hi_to_hinglish
खाना मिर्ची वाला है?,khana mirci vala h?,hi_to_hinglish
स्वाद ठीक है ना?,svada thika hai na?,hi_to_hinglish
डेज़र्ट में क्या है?,dez2arta mem kya hai?,hi_to_hinglish
डेज़र्ट में क्या है?,dez2arta mem kya h?,hi_to_hinglish
कपड़े सुखा दिए?,kapar3e sukha die?,hi_to_hinglish
कपड़े सुखा दिए?,kapar3e sukha die? bro,hi_to_hinglish
अच्छी सी फिल्म चल रही है?,acchi si philma cala rahi hai?,hi_to_hinglish
अच्छी सी फिल्म चल रही है?,acchi si philma cala rahi hai? bro,hi_to_hinglish
नींद आ रही है क्या?,nimda a rahi hai kya?,hi_to_hinglish
अखबार की हेडलाइन क्या है?,akhabara ki hedalaina kya hai?,hi_to_hinglish
आज का मैच किसके बीच है?,aja ka maica kisake bica hai?,hi_to_hinglish
आज का मैच किसके बीच है?,aja ka maica kisake bica hai? na,hi_to_hinglish
क्रिकेट देखोगे?,kriketa dekhoge?,hi_to_hinglish
स्कोर क्या चल रहा है?,skora kya cala raha hai?,hi_to_hinglish
गोल हो गया!,gola ho gaya!,hi_to_hinglish
हार गए क्या?,hara gae kya?,hi_to_hinglish
एक्सरसाइज कर ली?,eksarasaija kara li?,hi_to_hinglish
योगासन किए?,yogasana kie?,hi_to_hinglish
वजन चेक किया?,vajana ceka kiya?,hi_to_hinglish
वजन चेक किया?,vajana ceka kiya? na,hi_to_hinglish
कब मिल रहे हो?,kaba mila rahe ho?,hi_to_hinglish
स्टोरी देख ली?,stori dekha li?,hi_to_hinglish
स्टोरी देख ली?,stori dekha li? bhai,hi_to_hinglish
स्टोरी देख ली?,stori dekha li? yaar,hi_to_hinglish
ट्रेंडिंग क्या है आज?,tremdimga kya hai aja?,hi_to_hinglish
नया ट्रेंड ट्राई करोगे?,naya tremda trai karoge?,hi_to_hinglish
नया ट्रेंड ट्राई करोगे?,naya tremda trai karoge? bro,hi_to_hinglish
डांस करोगे मेरे साथ?,damsa karoge mere satha?,hi_to_hinglish
पार्टी में जाना है?,parti mem jana hai?,hi_to_hinglish
पार्टी में जाना है?,parti mem jana hai? yaar,hi_to_hinglish
ड्रेस चुन लिया?,dresa cuna liya?,hi_to_hinglish
मेकअप कर लिया?,mekaapa kara liya?,hi_to_hinglish
तैयार हो गए?,taiyara ho gae?,hi_to_hinglish
रंग पसंद है?,ramga pasamda hai?,hi_to_hinglish
मीटिंग फिक्स कर ली?,mitimga phiksa kara li?,hi_to_hinglish
मीटिंग फिक्स कर ली?,mitimga phiksa kara li? bhai,hi_to_hinglish
कुछ खाओगे?,kucha khaoge?,hi_to_hinglish
